,correlation,mean yr-to-yr diff.
ATL,0.3906880497547377,-0.10714285714285714
BOS,0.20707573643063043,0.03571428571428571
BRK,0.3809623721448458,0.5555555555555556
CHI,0.6420880732751186,-0.06666666666666667
CHO,0.20801684716115332,0.2222222222222222
CLE,0.2407468187634515,-0.9565217391304348
DAL,0.6054358499705665,0.5263157894736842
DEN,0.34291132087712695,0.44
DET,0.14320257512913823,-1.0
GSW,0.259693072711521,-0.25
HOU,-0.0867917820209939,-0.5
IND,0.1749521157900664,0.23076923076923078
LAC,0.5442390011809549,0.92
LAL,0.25541090056516247,-0.17391304347826086
MEM,0.5621972584200283,0.5238095238095238
MIA,0.13695956281167274,0.8421052631578947
MIL,0.42236305073429486,-0.2222222222222222
MIN,0.2091507286689008,-0.34615384615384615
NOP,0.39443812694557756,-0.6153846153846154
NYK,0.21658717598958943,0.09090909090909091
OKC,0.23051689291166902,-0.35714285714285715
ORL,0.42042596858193326,-0.21428571428571427
PHI,0.574658513001955,0.3333333333333333
PHO,0.4309435509416789,0.18518518518518517
POR,0.49003288242131915,-0.23076923076923078
SAC,0.7891575515681654,0.27586206896551724
SAS,0.18782837182655782,0.36
TOR,0.15041241947195333,-0.13636363636363635
UTA,0.5901518435254736,0.32142857142857145
WAS,0.15110011997374692,0.2727272727272727
